RBP,IS_K562,IS_HepG2,IS_avg,VS_K562,VS_HepG2,VS_avg
AARS,2.8050762338561825,NA,NA,0.6098679274872513,NA,NA
AATF,9.01067350456277,NA,NA,0.7856932343427548,NA,NA
ABCF1,2.0185099199294325,NA,NA,0.48509231616910853,NA,NA
ADAT1,6.860274929156528,NA,NA,0.72246810745995,NA,NA
AGGF1,27.09148671832002,18.844838611578524,22.223638719891657,0.8645162027037727,0.8092169984908586,0.8368666005973157
AKAP1,8.190869205612817,2.34634970307284,9.259305624691237,0.769193437418079,0.49979118816433704,0.7801057149504017
AKAP8L,5.022202001777834,NA,NA,0.6497709981770834,NA,NA
APEX1,8.441265393844937,NA,NA,0.7793960009492571,NA,NA
APOBEC3C,6.405737090789578,NA,NA,0.6569062804017363,NA,NA
AQR,1.785927643924092,1.4872564631343603,1.6231160346026852,0.37842243143466076,0.2763210190409466,0.32737172523780367
BCCIP,NA,3.426253410522101,NA,NA,0.5602219526594328,NA
BCLAF1,NA,1.6021798228891695,NA,NA,0.26641622941344156,NA
BUD13,1.3420688935992122,1.4509751221637421,1.3326957126601313,0.17577677695715838,0.23313409136672386,0.16921603131179896
CDC40,NA,5.2107495976388245,NA,NA,0.6807057667987281,NA
CPEB4,34.383863003509525,NA,NA,0.7792907856980354,NA,NA
CPSF6,4.334469259941156,NA,NA,0.6312523246431936,NA,NA
CSTF2,NA,2.772480165543612,NA,NA,0.5678340062341553,NA
CSTF2T,3.6257042412957907,2.9290320582170986,3.2387508952493573,0.44987268271966196,0.4074949228147812,0.4286838027672216
DDX1,3.318528085723311,NA,NA,0.44025980722578134,NA,NA
DDX21,4.798849851589656,NA,NA,0.7376807833566495,NA,NA
DDX24,1.3932759715309726,NA,NA,0.20526200032533448,NA,NA
DDX3X,2.147006192350357,2.9733400180855445,2.4937233254568336,0.40863549063921567,0.5112874290798344,0.4599614598595251
DDX42,2.3789412828835084,NA,NA,0.40590668844069727,NA,NA
DDX43,1.3164793769525722,NA,NA,0.16724875390371932,NA,NA
DDX47,2.4334708683657236,NA,NA,0.5393859915376257,NA,NA
DDX51,3.1132301518507917,NA,NA,0.4183865637582951,NA,NA
DDX52,3.0429915726594845,1.215649517769839,1.7551017948401735,0.5363781468415658,0.14479971363901972,0.34626068621736406
DDX55,4.2171809354904575,3.342204416007508,6.050722965556546,0.5124797139862872,0.5625211078394887,0.6137015643210585
DDX59,NA,5.592221247689015,NA,NA,0.5673356032208043,NA
DDX6,5.268082907284067,2.9028213216309227,3.731349866119143,0.7014395555069832,0.5416958751649797,0.6215677153359814
DGCR8,2.146210498063873,2.6363368439899464,2.3636015927723797,0.38289378710488425,0.40913515577554027,0.39601447144021223
DHX30,2.05502950771714,8.494556377597956,2.3900822145347442,0.28830203770173707,0.8603213328613535,0.48986622417158193
DKC1,NA,19.32428410710454,NA,NA,0.8525247036795642,NA
DROSHA,2.9813755703741807,2.700504494881749,2.784434889595066,0.41651384461207974,0.44096934569287455,0.4305476049840813
EEF2,4.678364318098751,NA,NA,0.6885924251870496,NA,NA
EFTUD2,1.623577172043447,1.9359052460554391,1.765897632063541,0.2556881156826893,0.3089582169914523,0.28232316633707083
EIF3D,NA,1.1616600237333836,NA,NA,0.10069776951243643,NA
EIF3G,1.6892814586282277,NA,NA,0.3347182575782413,NA,NA
EIF3H,NA,1.4497218553189863,NA,NA,0.23099545480915856,NA
EIF4E,3.811610430933724,NA,NA,0.6043702983280466,NA,NA
EIF4G2,28.86936732233577,NA,NA,0.9120654547018714,NA,NA
ELAC2,32.138305579063925,NA,NA,0.8970150217771014,NA,NA
ELAVL1,20.357284540780316,NA,NA,0.78693258584382,NA,NA
EWSR1,3.343378955389113,NA,NA,0.4420390658032489,NA,NA
EXOSC10,1.9418515312773608,NA,NA,0.3774905653994294,NA,NA
EXOSC5,7.431490408007831,4.3998383483197605,4.4682743194134,0.6377399265845011,0.7227264189463681,0.7029349201664034
FAM120A,5.963811501869563,4.581750160347142,4.757565429863981,0.7170679164510384,0.5099369247431736,0.5591198313681713
FASTKD2,5.338891240196217,2.401392888085435,3.3100667902609904,0.5636453585570895,0.39440049075722916,0.47902292465715934
FKBP4,NA,4.358651146742543,NA,NA,0.5055812502482249,NA
FMR1,1.2616709335392606,NA,NA,0.14986349566436769,NA,NA
FTO,2.8483445445279036,2.7679990373989325,2.9056500663241915,0.517282540486433,0.5848612949100503,0.5267266495513373
FUBP3,NA,5.156137891905659,NA,NA,0.6862044327716812,NA
FUS,2.4024950487214256,2.659934562169981,2.524319740007391,0.4826125964070157,0.5396120714070767,0.5111123339070462
FXR1,1.213281359186631,NA,NA,0.1322998512375713,NA,NA
FXR2,1.2545454459344727,1.8767540160111422,1.4079543564591652,0.14574482782720896,0.3454667162192351,0.20766864796409726
G3BP1,NA,1.469722967135208,NA,NA,0.24933772219024514,NA
GARS,1.8596752765912803,NA,NA,0.40874357095281155,NA,NA
GEMIN5,3.063193154491931,NA,NA,0.5362905082533654,NA,NA
GNL3,4.3497743451914435,NA,NA,0.7539863314751232,NA,NA
GPKOW,2.015175465915484,NA,NA,0.35860318430366067,NA,NA
GRSF1,NA,2.1550022237132898,NA,NA,0.4122672151532006,NA
GRWD1,1.769035064737138,1.3653187300019385,1.5410151047192815,0.31735712881263844,0.19557804531223047,0.25646758706243444
