RBP,CS_K562,CVS_K562,CS_HepG2,CVS_HepG2,S5_CS_existing,S5_CVS_existing,K562_flag,HepG2_flag,merge_status
A1CF,,,,,,,No,No,
AARS,2.3435,0.5296,,,2.3435,0.5296,Yes,No,K562_only
AATF,8.7939,0.7511,,,8.7939,0.7511,Yes,No,K562_only
ABCF1,1.8274,0.2275,,,1.8274,0.2275,Yes,No,K562_only
ADAT1,5.4995,0.6155,,,5.4995,0.6155,Yes,No,K562_only
AGGF1,21.322,0.8287,17.4369,0.7935,19.9302,0.8127,Yes,Yes,merged
AKAP1,5.632,0.5267,2.6784,0.373,5.5167,0.509,Yes,Yes,merged
AKAP8L,4.8198,0.6758,,,4.8198,0.6758,Yes,No,K562_only
APEX1,4.693,0.6337,,,4.693,0.6337,Yes,No,K562_only
APOBEC3C,5.0016,0.578,,,5.0016,0.578,Yes,No,K562_only
AQR,1.9232,0.3905,1.7116,0.2272,1.7556,0.3422,Yes,Yes,merged
BCCIP,,,3.608,0.4946,3.608,0.4946,No,Yes,HepG2_only
BCLAF1,,,3.24,0.4898,3.24,0.4898,No,Yes,HepG2_only
BOLL,,,,,,,No,No,
BUD13,1.7003,0.2727,1.8462,0.3638,1.6952,0.2144,Yes,Yes,merged
CDC40,,,5.5456,0.7114,5.5456,0.7114,No,Yes,HepG2_only
CELF1,,,,,,,No,No,
CNOT4,,,,,,,No,No,
CPEB1,,,,,,,No,No,
CPEB4,19.5651,0.7689,,,19.5651,0.7689,Yes,No,K562_only
CPSF6,6.9807,0.7121,,,6.9807,0.7121,Yes,No,K562_only
CSTF2,,,5.396,0.685,5.396,0.685,No,Yes,HepG2_only
CSTF2T,5.7723,0.1822,3.8552,0.4327,5.0662,0.467,Yes,Yes,merged
DAZ3,,,,,,,No,No,
DAZAP1,,,,,,,No,No,
DDX1,4.5225,0.4608,,,4.5225,0.4608,Yes,No,K562_only
DDX21,4.441,0.6077,,,4.441,0.6077,Yes,No,K562_only
DDX24,1.8294,0.3302,,,1.8294,0.3302,Yes,No,K562_only
DDX3X,2.6557,0.3849,3.4754,0.4394,3.1051,0.4182,Yes,Yes,merged
DDX42,3.6804,0.2177,,,3.6804,0.2177,Yes,No,K562_only
DDX43,1.7513,0.3293,,,1.7513,0.3293,Yes,No,K562_only
DDX47,2.5169,0.4761,,,2.5169,0.4761,Yes,No,K562_only
DDX51,4.4619,0.2183,,,4.4619,0.2183,Yes,No,K562_only
DDX52,4.4884,0.1802,1.3331,0.1845,1.946,0.2671,Yes,Yes,merged
DDX55,4.8191,0.5395,3.867,0.4911,7.6017,0.5838,Yes,Yes,merged
DDX59,,,7.2363,0.5708,7.2363,0.5708,No,Yes,HepG2_only
DDX6,6.2652,0.2973,3.1506,0.6028,4.1771,0.5575,Yes,Yes,merged
DGCR8,2.1196,0.3386,2.9949,0.1293,2.3951,0.3453,Yes,Yes,merged
DHX30,3.3032,0.2232,3.5766,0.7053,3.7545,0.5009,Yes,Yes,merged
DKC1,,,16.2692,0.833,16.2692,0.833,No,Yes,HepG2_only
DROSHA,4.1431,0.1954,3.3967,0.4272,3.6418,0.1648,Yes,Yes,merged
EEF2,5.6196,0.6658,,,5.6196,0.6658,Yes,No,K562_only
EFTUD2,2.2169,0.3441,2.8267,0.3398,2.4197,0.3552,Yes,Yes,merged
EIF3D,,,1.3772,0.1704,1.3772,0.1704,No,Yes,HepG2_only
EIF3G,2.2742,0.3645,,,2.2742,0.3645,Yes,No,K562_only
EIF3H,,,1.719,0.2299,1.719,0.2299,No,Yes,HepG2_only
EIF4E,4.1512,0.5373,,,4.1512,0.5373,Yes,No,K562_only
EIF4G2,16.4275,0.8589,,,16.4275,0.8589,Yes,No,K562_only
ELAC2,21.7749,0.8541,,,21.7749,0.8541,Yes,No,K562_only
ELAVL1,18.3337,0.7032,,,18.3337,0.7032,Yes,No,K562_only
ELAVL4,,,,,,,No,No,
ESRP1,,,,,,,No,No,
EWSR1,4.6688,0.4594,,,4.6688,0.4594,Yes,No,K562_only
EXOSC10,3.0105,0.5504,,,3.0105,0.5504,Yes,No,K562_only
EXOSC5,8.8183,0.585,3.3477,0.5071,3.6071,0.5257,Yes,Yes,merged
FAM120A,9.1052,0.6716,6.0413,0.2053,8.6393,0.2807,Yes,Yes,merged
FASTKD2,8.3122,0.3186,3.2377,0.1522,4.6793,0.2354,Yes,Yes,merged
FKBP4,,,5.8139,0.1449,5.8139,0.1449,No,Yes,HepG2_only
FMR1,1.5915,0.2198,,,1.5915,0.2198,Yes,No,K562_only
FTO,3.4623,0.4249,2.9675,0.4282,3.4573,0.43,Yes,Yes,merged
FUBP1,,,,,,,No,No,
FUBP3,,,9.2046,0.6496,9.2046,0.6496,No,Yes,HepG2_only
FUS,2.8619,0.3628,2.4763,0.4251,2.6025,0.416,Yes,Yes,merged
FXR1,1.453,0.2317,,,1.453,0.2317,Yes,No,K562_only
FXR2,1.4865,0.1888,2.467,0.4304,1.6857,0.292,Yes,Yes,merged
G3BP1,,,1.7568,0.3022,1.7568,0.3022,No,Yes,HepG2_only
GARS,1.8419,0.3156,,,1.8419,0.3156,Yes,No,K562_only
GEMIN5,3.9556,0.491,,,3.9556,0.491,Yes,No,K562_only
GNL3,2.7342,0.6392,,,2.7342,0.6392,Yes,No,K562_only
GPKOW,3.1592,0.4072,,,3.1592,0.4072,Yes,No,K562_only
GRSF1,,,2.9544,0.1658,2.9544,0.1658,No,Yes,HepG2_only
GRWD1,2.5219,0.4491,1.8071,0.3351,2.1036,0.3921,Yes,Yes,merged
GTF2F1,5.0694,0.2341,3.5731,0.1834,4.1864,0.2088,Yes,Yes,merged
HLTF,3.9673,0.4803,1.7809,0.3143,5.3266,0.5413,Yes,Yes,merged
HNRNPA0,,,,,,,No,No,
HNRNPA1,1.5376,0.2389,1.6783,0.3445,1.6037,0.2917,Yes,Yes,merged
HNRNPA2B1,,,,,,,No,No,
HNRNPC,32.2961,0.9117,26.1354,0.8961,28.8457,0.9039,Yes,Yes,merged
HNRNPCL1,,,,,,,No,No,
HNRNPD0,,,,,,,No,No,
HNRNPDL,,,,,,,No,No,
HNRNPF,,,,,,,No,No,
HNRNPH2,,,,,,,No,No,
HNRNPK,3.0713,0.3933,3.9765,0.487,3.4497,0.4399,Yes,Yes,merged
HNRNPL,12.0087,0.8156,8.656,0.7772,10.0945,0.7964,Yes,Yes,merged
HNRNPM,1.5565,0.2001,1.7352,0.2412,1.6089,0.2041,Yes,Yes,merged
HNRNPU,1.8993,0.2829,2.4661,0.3581,2.2452,0.336,Yes,Yes,merged
HNRNPUL1,3.504,0.5643,3.554,0.4519,3.8247,0.4532,Yes,Yes,merged
IGF2BP1,4.3924,0.7378,4.0622,0.6983,4.4153,0.7258,Yes,Yes,merged
IGF2BP2,1.7923,0.249,,,1.7923,0.249,Yes,No,K562_only
IGF2BP3,,,1.5694,0.1536,1.5694,0.1536,No,Yes,HepG2_only
ILF2,,,,,,,No,No,
ILF3,2.3594,0.4387,9.2256,0.8542,3.1508,0.533,Yes,Yes,merged
KHDRBS1,3.7674,0.3751,,,3.7674,0.3751,Yes,No,K562_only
KHDRBS2,,,,,,,No,No,
KHDRBS3,,,,,,,No,No,
KHSRP,3.5392,0.4268,3.306,0.5216,3.1859,0.4476,Yes,Yes,merged
LARP4,4.6716,0.3921,1.7199,0.2703,2.3244,0.2786,Yes,Yes,merged
LARP7,3.8627,0.6951,2.5203,0.4879,3.0179,0.6087,Yes,Yes,merged
LIN28B,1.5023,0.2189,1.6445,0.265,1.5701,0.2395,Yes,Yes,merged
LSM11,7.0029,0.3326,1.6374,0.2461,2.795,0.241,Yes,Yes,merged
MATR3,3.2618,0.4478,2.857,0.4022,3.0468,0.4172,Yes,Yes,merged
MBNL1,3.9106,0.5931,,,3.9106,0.5931,Yes,No,K562_only
METAP2,1.6637,0.238,,,1.6637,0.238,Yes,No,K562_only
METTL1,1.6087,0.2915,,,1.6087,0.2915,Yes,No,K562_only
MORC2,4.5242000000000004,0.5812,,,4.5242000000000004,0.5812,Yes,No,K562_only
MSI1,,,,,,,No,No,
MTPAP,3.5707,0.5135,,,3.5707,0.5135,Yes,No,K562_only
NCBP2,4.8509,0.5147,2.9392,0.4125,3.839,0.472,Yes,Yes,merged
NIP7,,,2.8041,0.5751,2.8041,0.5751,No,Yes,HepG2_only
NIPBL,2.9073,0.5627,,,2.9073,0.5627,Yes,No,K562_only
NKRF,,,5.7449,0.2175,5.7449,0.2175,No,Yes,HepG2_only
NOL12,,,2.0876,0.3849,2.0876,0.3849,No,Yes,HepG2_only
NOLC1,1.8521,0.2946,2.8494,0.5354,2.3247,0.4338,Yes,Yes,merged
NONO,2.1489,0.3159,,,2.1489,0.3159,Yes,No,K562_only
NOVA1,,,,,,,No,No,
NPM1,4.5292,0.6839,,,4.5292,0.6839,Yes,No,K562_only
NSUN2,5.7148,0.74,6.6536,0.6465,5.0878,0.658,Yes,Yes,merged
NUPL2,,,,,,,No,No,
PABPC3,,,,,,,No,No,
PABPC4,9.074,0.7546,,,9.074,0.7546,Yes,No,K562_only
