record_type,panel,group,x,y,n,point_R,boot_mean,boot_SE,ci_lo,ci_hi,n_valid_boot,frac_boot_gt0,dropped_RBP,R_without,deltaR,rank
bootstrap,Fig2C,Low,IS,CS,9,0.9435,0.8585,0.187,0.4003,0.9959,10000,0.9979,,,,
bootstrap,Fig2C,High,IS,CS,9,-0.3185,-0.3223,0.2354,-0.7091,0.3143,10000,0.0872,,,,
bootstrap,Fig2C,All,IS,CS,18,0.5617,0.4076,0.3906,-0.3255,0.9186,10000,0.7663,,,,
bootstrap,Fig2D,Low,VS,CVS,9,0.8424,0.8409,0.1008,0.6236,0.9704,10000,0.9994,,,,
bootstrap,Fig2D,High,VS,CVS,9,-0.0434,0.004,0.3306,-0.5956,0.6874,10000,0.4665,,,,
bootstrap,Fig2D,All,VS,CVS,18,0.2989,0.3055,0.2568,-0.2083,0.7795,10000,0.8784,,,,
jackknife,Fig2C,Low,IS,CS,9,0.9435,,,,,,,HNRNPC,0.5975,-0.3461,1
jackknife,Fig2C,Low,IS,CS,9,0.9435,,,,,,,PCBP2,0.986,0.0425,2
jackknife,Fig2C,Low,IS,CS,9,0.9435,,,,,,,FUBP3,0.9524,0.0089,3
jackknife,Fig2C,High,IS,CS,9,-0.3185,,,,,,,RBM22,-0.2221,0.0963,1
jackknife,Fig2C,High,IS,CS,9,-0.3185,,,,,,,TAF15,-0.3898,-0.0714,2
jackknife,Fig2C,High,IS,CS,9,-0.3185,,,,,,,SRSF9,-0.3832,-0.0647,3
jackknife,Fig2C,All,IS,CS,18,0.5617,,,,,,,HNRNPC,-0.1104,-0.6721,1
jackknife,Fig2C,All,IS,CS,18,0.5617,,,,,,,EIF4G2,0.6863,0.1246,2
jackknife,Fig2C,All,IS,CS,18,0.5617,,,,,,,RBM22,0.6693,0.1076,3
jackknife,Fig2D,Low,VS,CVS,9,0.8424,,,,,,,HNRNPC,0.7185,-0.1239,1
jackknife,Fig2D,Low,VS,CVS,9,0.8424,,,,,,,FUS,0.8878,0.0453,2
jackknife,Fig2D,Low,VS,CVS,9,0.8424,,,,,,,TIA1,0.8654,0.023,3
jackknife,Fig2D,High,VS,CVS,9,-0.0434,,,,,,,RBM22,0.2368,0.2802,1
jackknife,Fig2D,High,VS,CVS,9,-0.0434,,,,,,,TAF15,-0.2211,-0.1777,2
jackknife,Fig2D,High,VS,CVS,9,-0.0434,,,,,,,EIF4G2,0.0826,0.1261,3
jackknife,Fig2D,All,VS,CVS,18,0.2989,,,,,,,RBM22,0.5243,0.2254,1
jackknife,Fig2D,All,VS,CVS,18,0.2989,,,,,,,HNRNPC,0.1325,-0.1664,2
jackknife,Fig2D,All,VS,CVS,18,0.2989,,,,,,,RBFOX2,0.3747,0.0758,3
