chr	start	end	name	score	strand	nTC_hnRNPC_Mut1	nTC_hnRNPC_Mut2	nTC_hnRNPC_Mut3	nTC_hnRNPC_Mut4	nTC_hnRNPC_Mut5	nTC_hnRNPC_Mut6	nTC_hnRNPC_Mut7	nTC_hnRNPC_Mut8	nTC_hnRNPC_Mut_inKD1	nTC_hnRNPC_Mut_inKD2	nTC_hnRNPC_Mut_inKD3	nTC_hnRNPC_WT1	nTC_hnRNPC_WT2	nTC_hnRNPC_WT3	nTC_hnRNPC_WT4	nTC_hnRNPC_WT5	nTC_hnRNPC_WT6	nTC_hnRNPC_WT7	nTC_hnRNPC_WT8	nTC_hnRNPC_WT_inKD1	nTC_hnRNPC_WT_inKD2	nTC_hnRNPC_WT_inKD3	nTC_hnRNPC_WT_inRBM25_Mut1	nTC_hnRNPC_WT_inRBM25_Mut2	nTC_hnRNPC_WT_inRBM25_Mut3	nTC_hnRNPC_WT_inRBM25_WT1	nTC_hnRNPC_WT_inRBM25_WT2	nTC_hnRNPC_WT_inRBM25_WT3	nTC_RBM25_Mut1	nTC_RBM25_Mut2	nTC_RBM25_Mut3	nTC_RBM25_Mut4	nTC_RBM25_Mut5	nTC_RBM25_Mut6	nTC_RBM25_Mut7	nTC_RBM25_Mut8	nTC_RBM25_WT1	nTC_RBM25_WT2	nTC_RBM25_WT3	nTC_RBM25_WT4	nTC_RBM25_WT5	nTC_RBM25_WT6	nTC_RBM25_WT7	nTC_RBM25_WT8	BC_hnRNPC_WT_inRBM25_Mut	nTC_hnRNPC_WT_inRBM25_Mut	BC_hnRNPC_WT_inRBM25_WT	nTC_hnRNPC_WT_inRBM25_WT	BC_hnRNPC_Mut	nTC_hnRNPC_Mut	BC_hnRNPC_WT	nTC_hnRNPC_WT	BC_RBM25_Mut	nTC_RBM25_Mut	BC_RBM25_WT	nTC_RBM25_WT	BC_hnRNPC_Mut_inKD	nTC_hnRNPC_Mut_inKD	BC_hnRNPC_WT_inKD	nTC_hnRNPC_WT_inKD	annotation	gene	finalized_annotation	grouped_annotation	annotation_count	external_gene_name
chr1	630724	630744	chr1-4202	67.7	+	3.3969682543611	6.42735482212296	9.39982140339334	66.3775555358881	4.59870017739486	0	0	0	0	0	0.272849583754318	12.2451478601604	65.0845339621946	46.5121471123399	53.251129367702	13.8342465709692	0	0	0	0.320479642652379	0	0	4.43450796773795	1.87813904703004	1.78718419152181	3.14237142201734	3.65202812061653	4.07518305212872	0	11.566309653242	7.43864973629987	7.62334573397573	0	58.1841878651058	98.5395402871131	79.709083388627	0	28.2909440688036	0	0	0	35.1703122370077	42.704018448136	53.931032995006	3	2.69994373542993	3	3.6231941982542	5	11.275050024145	5	23.8659006091708	6	32.8826395830454	4	20.0120384686192	1	0.0909498612514392	1	0.106826547550793	""	""	unannotated	unannotated	0	""
chr1	633943	633963	chr1-3087	13	+	0	6.42735482212296	0	0	1.14967504434872	0.697029504213369	0	0	0	0	0.272849583754318	6.12257393008021	8.67793786162594	0	5.91679215196689	2.12834562630295	0	0	0.321142032450118	0	0.626670272109632	0	1.43048644120579	0.994308907251196	1.34038814364136	2.32768253482766	1.99201533851811	2.29229046682241	0	0	0	7.62334573397573	0	5.81841878651058	0	10.7714977552199	0	0	0	0	0	7.5364954793588	0	0	3	1.25506116403278	3	2.20399611338939	3	1.03425742133563	5	2.89584895030326	3	3.02665778446327	1	0.942061934919849	1	0.0909498612514392	1	0.208890090703211	""	ENSG00000248527.1	unannotated	unannotated	0	MTATP6P1
chr1	1392241	1392261	chr1-394	19.7	-	2.42640589597221	0	9.39982140339334	11.062925922648	2.29935008869743	0.348514752106685	0	0	0	1.84308142941102	1.09139833501727	0	0	7.44194353797438	0	1.06417281315147	0.661325799509825	0	0.321142032450118	0.320479642652379	1.8800108163289	0	1.57353508532637	2.09909658197475	1.34038814364136	1.86214602786213	1.88134781971155	2.03759152606436	0	0	0	0	0	0	5.18629159405858	2.15429955104397	0	0	0	0	0	0	0	0	3	1.67100660364749	3	1.92702845787934	5	3.19212725785221	4	1.18607302288572	2	0.91757389313782	0	0	2	0.978159921476096	2	0.733496819660425	intron	ENSG00000221978.14	intron	intron	1	CCNL2
chr1	1865618	1865638	chr1-2924	12.5	-	0.970562358388886	0	9.39982140339334	0	1.14967504434872	0.697029504213369	0.305128011880464	0	0	0.460770357352754	0	0	2.16948446540649	1.86048588449359	0	0	0.661325799509825	0.318342885211604	0	1.6023982132619	0.626670272109632	1.40501468474515	1.71658372944695	1.10478767472355	1.48932015960151	1.74576190112074	1.66001278209842	2.29229046682241	0	0	0	0	0	5.81841878651058	0	2.15429955104397	0	0	0	0	0	0	0	0	3	1.436897187924	3	1.89935505001386	5	1.5652770402781	4	0.626204879327689	2	0.996589792194319	0	0	1	0.153590119117585	3	1.21136105670556	intron	ENSG00000078369.20	intron	intron	1	GNB1
chr1	1865845	1865865	chr1-333	29.4	-	4.36753061274999	0	0	0	2.29935008869743	1.04554425632005	0.610256023760929	0.651883683090659	0	1.38231107205826	2.18279667003454	0	2.16948446540649	1.86048588449359	5.91679215196689	1.06417281315147	1.32265159901965	0.318342885211604	0.321142032450118	1.28191857060952	2.19334595238371	1.87335291299353	3.00402152653216	2.87244795428123	3.12757233516316	3.49152380224149	2.54535293255091	3.56578517061263	0	0	0	0	0	0	0	2.15429955104397	0	0	0	0	0	0	0	0	3	3.00134727199219	3	3.20088730180168	5	1.12182058307738	7	1.62163397896248	1	0.269287443880497	0	0	2	1.18836924736427	3	1.78287247866225	intron	ENSG00000078369.20	intron	intron	1	GNB1
chr1	8862309	8862329	chr1-3484	12.8	-	1.45584353758333	0	0	0	0	0.348514752106685	0.915384035641393	0	0	1.15192589338189	1.90994708628022	0	4.33896893081297	0	0	0	0.661325799509825	0	0	1.28191857060952	0.626670272109632	1.40501468474515	2.14572966180869	1.65718151208533	1.48932015960151	1.97853015460351	1.88134781971155	2.54698940758045	0	0	0	0	0	0	0	1.07714977552199	0	0	0	0	0	0	0	0	3	1.76407711116517	3	2.13562246063184	3	0.339967790666426	2	0.62503684129035	1	0.134643721940248	0	0	2	1.02062432655404	3	1.10453450915477	intron	ENSG00000074800.17	intron	intron	1	ENO1
chr1	8868171	8868191	chr1-1079	13	-	0.485281179194443	0	0	0	1.14967504434872	0.348514752106685	0	0	0	0.460770357352754	1.90994708628022	0	2.16948446540649	0	0	0	0	0	0.321142032450118	0.320479642652379	0	1.87335291299353	2.00268101768811	2.09909658197475	1.63825217556166	2.09491428134489	1.99201533851811	2.03759152606436	0	0	0	0	0	0	0	1.07714977552199	0	0	0	0	0	0	5.338002306017	0	3	1.91334325840817	3	2.04150704864245	3	0.24793387195623	2	0.311328312232075	1	0.134643721940248	1	0.667250288252125	2	0.790239147877659	2	0.731277518548636	intron	ENSG00000074800.17	intron	intron	1	ENO1
chr1	8868289	8868309	chr1-6246	8.85	-	0.485281179194443	0	0	0	1.14967504434872	0.348514752106685	0	0	0	0.460770357352754	0.272849583754318	0	0	0	0	1.06417281315147	0	0	0	0.640959285304759	0.940005408164448	0.468338228248382	1.00134050884405	0.994308907251196	1.04252411172105	1.51299364763798	1.77068030090498	2.29229046682241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.0127245092721	3	1.85865480512179	3	0.24793387195623	1	0.133021601643934	0	0	0	0	2	0.244539980369024	3	0.683100973905863	intron	ENSG00000074800.17	intron	intron	1	ENO1
chr1	8869043	8869063	chr1-258	23.5	-	0.485281179194443	6.42735482212296	0	11.062925922648	5.74837522174357	1.74257376053342	0.610256023760929	0	0	3.22539250146928	3.00134542129749	0	2.16948446540649	0	0	2.12834562630295	0.661325799509825	0	0	1.28191857060952	1.56667568027408	0.936676456496764	2.28877830592927	2.09909658197475	1.93611620748196	2.56045078831043	1.54934526329186	2.29229046682241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2.10799703179532	3	2.1340288394749	6	3.25959586625042	3	0.619894486402407	0	0	0	0	2	2.07557930758892	3	1.26175690246012	intron	ENSG00000074800.17	intron	intron	1	ENO1
chr1	8869201	8869221	chr1-85	38.8	-	2.91168707516666	12.8547096442459	0	0	2.29935008869743	1.04554425632005	3.05128011880464	1.30376736618132	2.18748974614181	4.60770357352755	3.27419500505181	0	2.16948446540649	3.72097176898719	0	1.06417281315147	0.661325799509825	1.91005731126962	0.963426097350353	3.84575571182855	3.13335136054816	5.1517205107322	3.00402152653216	2.65149041933652	3.12757233516316	2.79321904179319	1.88134781971155	2.29229046682241	0	0	0	15.2466914679515	0	0	5.18629159405858	0	0	0	0	0	0	0	0	0	3	2.92769476034395	3	2.32228577610905	6	2.933292318677	6	1.31117978195937	2	2.55412288275126	0	0	3	3.35646277490706	3	4.04360919436964	intron	ENSG00000074800.17	intron	intron	1	ENO1
