U,H,P,transcript
0.44133,0.37105,0.36671,C4BPB
0.40019,0.381,0.32638,C4BPB
0.49019,0.51196,0.4142,C4BPB
0.47603,0.52426,0.40299,C4BPB
0.28858,0.3204,0.29282,C4BPB
0.28052,0.32004,0.3073,C4BPB
0.25913,0.30833,0.31835,C4BPB
0.25697,0.27334,0.30167,C4BPB
0.31867,0.21589,0.2652,C4BPB
0.33162,0.21705,0.29766,C4BPB
0.37394,0.26457,0.3644,C4BPB
0.3696,0.26295,0.36969,C4BPB
0.40124,0.31283,0.36843,C4BPB
0.56006,0.50658,0.56128,C4BPB
0.56199,0.53666,0.5023,C4BPB
0.53253,0.49388,0.48286,C4BPB
0.53057,0.49405,0.47458,C4BPB
0.5373,0.50171,0.47912,C4BPB
0.53684,0.50022,0.48406,C4BPB
0.55855,0.5492,0.49934,C4BPB
0.56434,0.54998,0.51625,C4BPB
0.31527,0.20774,0.36672,C4BPB
0.31803,0.2436,0.3326,C4BPB
0.36557,0.33528,0.40573,C4BPB
0.34992,0.32657,0.38399,C4BPB
0.34933,0.32802,0.3787,C4BPB
0.48052,0.44273,0.47111,C4BPB
0.47788,0.43893,0.46176,C4BPB
0.46195,0.42492,0.37547,C4BPB
0.46645,0.41914,0.40339,C4BPB
0.44498,0.3908,0.36821,C4BPB
0.57322,0.44005,0.52512,C4BPB
0.60325,0.52881,0.51452,C4BPB
0.54053,0.4862,0.47251,C4BPB
0.55136,0.49304,0.4687,C4BPB
0.55906,0.49412,0.47181,C4BPB
0.57135,0.51462,0.5202,C4BPB
0.56245,0.50597,0.51875,C4BPB
0.56111,0.50599,0.51879,C4BPB
0.56201,0.50602,0.51568,C4BPB
0.55969,0.50435,0.50659,C4BPB
0.11403,0.05419,0.06791,C4BPB
0.24268,0.31498,0.0477,C4BPB
0.22509,0.28581,0.14341,C4BPB
0.2364,0.27876,0.14905,C4BPB
0.25314,0.20722,0.1224,C4BPB
0.20571,0.16455,0.12671,C4BPB
0.12787,0.06586,0.08491,C4BPB
0.12732,0.12083,0.09103,C4BPB
0.51556,0.43113,0.47353,MAT2A
0.4979,0.41567,0.47116,MAT2A
0.434,0.37038,0.42463,MAT2A
0.45099,0.36526,0.45209,MAT2A
0.36797,0.34031,0.25732,MAT2A
0.32436,0.30973,0.22214,MAT2A
0.35824,0.35413,0.34713,MAT2A
0.5847,0.43104,0.44398,MAT2A
0.5662,0.40348,0.43446,MAT2A
0.56763,0.41507,0.43545,MAT2A
0.39632,0.43733,0.33831,MAT2A
0.35404,0.34933,0.31054,MAT2A
0.38579,0.35842,0.32242,MAT2A
0.36921,0.33479,0.32153,MAT2A
0.22179,0.01808,0.34436,MAT2A
0.18105,0.05553,0.35357,MAT2A
0.33371,0.25397,0.33472,MAT2A
0.33686,0.25344,0.33775,MAT2A
0.11445,0.09963,0.14019,MYC
0.28814,0.27674,0.20864,MYC
0.30128,0.30454,0.20367,MYC
0.47215,0.51978,0.41305,MYC
0.41032,0.40523,0.33665,MYC
0.35901,0.35597,0.29763,MYC
