chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_I_M_1	NLS_I_M_2	NES_I_M_1	NES_I_M_2	G3BP_I_M_1	G3BP_I_M_2	G3BP_I_M_3	G3BP_I_M_4
chr1	   490810	   490830	chr1-5576	    9.25	-	ENSG00000290385		intron|lncRNA	lncRNA	ncRNA	2	5.860608e-05	2	2	1	1	2	1	1	1	1	1	1	1	1	0	0	0	16	3.087537e-06	3.812898e-07	1.198716e-06	0	0	0	5.226948e-06	0
chr1	   629505	   629525	chr1-594	  135.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0003662875	3	3	3	3	2	2	1	2	2	4	3	2	2	2	2	2	38	9.880117e-06	3.965414e-05	2.757047e-05	0	0	4.743968e-06	1.437411e-05	0
chr1	   629595	   629615	chr1-916	   43.20	+				UnAn	UnAn	0	0.0001513518	1	3	3	3	2	2	1	2	1	3	1	3	1	2	1	0	29	4.322551e-06	9.532245e-06	1.078844e-05	0	0	0	2.613474e-06	0
chr1	   630726	   630746	chr1-705	  144.60	+				UnAn	UnAn	0	0.0004951631	3	2	3	3	2	2	2	2	3	3	3	3	1	3	3	1	39	1.543768e-05	5.185541e-05	2.757047e-05	8.267059e-06	0	2.371984e-05	2.221453e-05	4.44919e-05
chr1	   630764	   630784	chr1-1945	   51.10	-	ENSG00000230021		intron	intron	intron	1	0.0001324445	3	2	3	2	2	2	2	2	2	3	2	2	1	2	2	0	32	4.940059e-06	1.639546e-05	3.596148e-06	1.653412e-05	0	4.743968e-06	2.613474e-06	0
chr1	   630832	   630852	chr1-1187	  150.70	-	ENSG00000230021		intron	intron	intron	1	0.0004253342	3	3	3	3	2	2	2	2	2	4	3	2	0	2	1	0	34	2.284777e-05	4.079801e-05	4.555121e-05	8.267059e-06	0	4.743968e-06	2.744147e-05	0
chr1	   632630	   632650	chr1-3390	   35.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0001060543	3	0	3	3	2	2	2	0	0	3	2	3	1	0	2	0	26	6.175073e-07	9.532245e-06	1.198716e-06	8.267059e-06	0	0	0	0
chr1	   633504	   633524	chr1-229	  240.20	+				UnAn	UnAn	0	0.0006763169	3	2	3	3	2	2	2	1	3	3	2	2	2	2	2	2	36	6.175073e-07	0.0001006605	1.198716e-06	4.960235e-05	0	2.371984e-05	6.533684e-06	4.44919e-05
chr1	   633730	   633750	chr1-4602	    9.25	+	ENSG00000240409	MTATP8P1		UnAn	UnAn	0	3.446816e-05	1	0	2	2	2	2	1	0	1	2	1	1	0	0	1	2	18	1.235015e-06	7.625796e-07	0	8.267059e-06	0	0	1.306737e-06	0
chr1	   633932	   633952	chr1-4093	   11.00	+	ENSG00000248527	MTATP6P1		UnAn	UnAn	0	3.242777e-05	1	1	3	1	2	2	1	0	1	3	1	0	0	0	0	1	17	6.175073e-07	2.287739e-06	1.198716e-06	0	0	0	1.306737e-06	0
chr1	   634136	   634156	chr1-3362	   12.80	+	ENSG00000248527	MTATP6P1		UnAn	UnAn	0	5.073796e-05	3	1	3	1	2	1	1	1	1	3	2	1	0	0	0	0	20	1.852522e-06	2.669029e-06	2.397432e-06	0	0	0	2.613474e-06	0
chr1	   634278	   634298	chr1-3092	   15.40	+	ENSG00000248527	MTATP6P1		UnAn	UnAn	0	6.833222e-05	1	1	3	0	2	2	1	1	2	2	0	0	0	0	1	2	18	6.175073e-07	2.669029e-06	2.397432e-06	0	0	9.487936e-06	1.306737e-06	0
chr1	   944241	   944261	chr1-179	  185.10	-	ENSG00000188976	NOC2L	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0005029795	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	3	31	1.852522e-06	1.143869e-06	4.794864e-06	0	0	0	1.306737e-06	0
