chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_E_S_1	NLS_E_S_2	NLS_E_S_3	NLS_E_S_4
chr1	   629505	   629525	chr1-594	  135.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0003662875	3	3	3	3	2	2	1	2	2	4	3	2	2	2	2	2	38	0	0	1.528798e-05	2.903482e-06
chr1	   629595	   629615	chr1-916	   43.20	+				UnAn	UnAn	0	0.0001513518	1	3	3	3	2	2	1	2	1	3	1	3	1	2	1	0	29	0	4.457619e-06	5.732992e-06	2.903482e-06
chr1	   630726	   630746	chr1-705	  144.60	+				UnAn	UnAn	0	0.0004951631	3	2	3	3	2	2	2	2	3	3	3	3	1	3	3	1	39	0	4.457619e-06	5.732992e-06	5.806965e-06
chr1	   630764	   630784	chr1-1945	   51.10	-	ENSG00000230021		intron	intron	intron	1	0.0001324445	3	2	3	2	2	2	2	2	2	3	2	2	1	2	2	0	32	0	0	3.821994e-06	2.903482e-06
chr1	   630832	   630852	chr1-1187	  150.70	-	ENSG00000230021		intron	intron	intron	1	0.0004253342	3	3	3	3	2	2	2	2	2	4	3	2	0	2	1	0	34	0	0	1.337698e-05	8.710447e-06
chr1	   632630	   632650	chr1-3390	   35.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0001060543	3	0	3	3	2	2	2	0	0	3	2	3	1	0	2	0	26	0	8.915238e-06	3.821994e-06	1.742089e-05
chr1	   632723	   632743	chr1-2231	   24.70	+				UnAn	UnAn	0	0.0001119267	1	2	3	0	1	2	1	0	1	2	0	2	1	2	0	0	18	0	0	1.910997e-06	2.903482e-06
chr1	   633504	   633524	chr1-229	  240.20	+				UnAn	UnAn	0	0.0006763169	3	2	3	3	2	2	2	1	3	3	2	2	2	2	2	2	36	0	0	2.675396e-05	2.032438e-05
chr1	   633644	   633664	chr1-3746	   11.90	+	ENSG00000240409	MTATP8P1		UnAn	UnAn	0	4.207667e-05	0	0	3	1	2	1	0	1	1	3	1	2	0	1	0	1	17	1.386943e-05	0	3.821994e-06	0
chr1	   944241	   944261	chr1-179	  185.10	-	ENSG00000188976	NOC2L	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0005029795	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	3	31	0	4.457619e-06	1.910997e-06	0
chr1	   954807	   954827	chr1-6683	    8.37	-	ENSG00000188976	NOC2L	intron|CDS_Retained_intron	CDS_RI	intron	2	2.289175e-05	2	3	1	2	0	0	0	0	0	1	0	2	0	0	0	0	11	0	4.457619e-06	0	2.903482e-06
